13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215682620	0	2	30	0	-2.118674	3.939043	96149.25351	95866.33386	0.064896	96037.78799	0	0	96157.53581	96011.5395	95992.11981	95926.2911	96062.65038
3215682631	0	2	35.5	0	-4.389847	2.521387	96205.8013	95851.10018	0.07266	96037.86866	0	0	96215.87972	96057.98245	95988.84404	95939.95328	96081.93765
3215682642	0	2	41	0	-5.427311	1.687398	96221.43938	95782.3517	0.080859	96036.95373	0	0	96233.55289	96066.79748	95955.68071	95887.61156	96042.45851
3215682654	0	2	46.5	0	-5.889699	2.512104	96223.25143	95800.88677	0.079299	96037.07473	0	0	96233.73926	96050.92764	95933.71163	95917.03658	96087.14948
3215682665	0	2	52	0	-7.431367	2.584019	96222.68988	95824.30886	0.077009	96037.50348	0	0	96230.50342	96087.60128	95943.14228	95917.85143	96081.18137
3215682676	0	2	57.5	0	-6.812104	0.967143	96232.66706	95793.34316	0.080876	96037.05367	0	0	96243.66661	96086.37283	95941.11244	95914.30709	96051.81525
3215682687	0	2	63	0	-6.93889	-0.228517	96258.29585	95788.78408	0.083606	96036.56411	0	0	96270.76209	96103.69305	95944.39824	95937.14098	96051.53292
3215682698	0	2	68.5	0	-7.092468	-0.078739	96234.44214	95813.23055	0.079186	96036.16675	0	0	96245.33673	96099.99299	95953.55988	95941.18918	96047.5866
3215682709	0	2	74	0	-8.451797	-0.018598	96259.936	95780.30274	0.084505	96036.20748	0	0	96269.98524	96121.20728	95918.05597	95923.0872	96047.11751
3215682720	0	2	79.5	0	-8.269092	0.071495	96259.34156	95757.86325	0.086414	96034.65676	0	0	96270.13346	96101.55662	95894.35488	95916.63376	96048.77333
3215682731	0	2	85	0	-11.661985	0.235116	96235.1606	95787.22524	0.081666	96034.94207	0	0	96236.63555	96144.34679	95874.15348	95901.84018	96026.22827
3215682742	0	2	90.5	0	-8.847809	-0.795709	96241.48055	95778.10723	0.083063	96035.99707	0	0	96251.02232	96113.41725	95906.28604	95925.70792	96025.04969
3215682753	0	2	96	0	-9.928663	-1.332701	96167.50345	95785.20103	0.075456	96035.64143	0	0	96173.79079	96069.16626	95874.63091	95913.70801	95984.4923
3215682764	0	2	101.5	0	-11.614312	-0.535365	96162.90248	95762.51022	0.077228	96034.29476	0	0	96165.01232	96074.85265	95833.67099	95882.15962	95975.4325
3215682775	0	2	107	0	-14.166455	1.936071	96075.65869	95831.62473	0.060287	96036.36324	0	0	96070.22911	96028.98131	95849.17347	95884.57272	95976.81274
3215682786	0	2	112.5	0	-6.521445	-1.766928	96083.82211	95776.96696	0.067614	96034.57173	0	0	96092.90222	95995.31343	95897.81632	95874.65371	95922.21379
3215682861	0	3	30	0	0.467861	4.020287	96092.88111	95842.44691	0.061068	96032.88174	0	0	96100.51771	95957.09841	95975.47323	95891.44722	96012.29509
3215682872	0	3	35.5	0	-2.637488	0.853377	96188.06072	95837.00086	0.072292	96034.96909	0	0	96199.81398	96029.24069	95993.931	95944.40008	96048.87893
3215682883	0	3	41	0	-6.285628	-0.437975	96188.29283	95798.1793	0.076217	96033.40169	0	0	96199.46986	96052.70992	95934.44417	95926.20899	96016.04213
3215682894	0	3	46.5	0	-4.458685	0.278434	96198.55345	95784.42828	0.07853	96034.02277	0	0	96211.66259	96031.48113	95948.13595	95916.94151	96027.87991
3215682905	0	3	52	0	-5.091337	-0.482724	96227.74166	95763.43977	0.083153	96034.22483	0	0	96242.32004	96048.37577	95938.34609	95922.77894	96027.37208
3215682916	0	3	57.5	0	-5.859019	-1.018922	96218.26419	95760.0282	0.08261	96030.23112	0	0	96232.18934	96041.57637	95913.23336	95932.79198	96022.67881
3215682927	0	3	63	0	-7.440383	-0.298967	96225.74395	95797.851	0.079817	96030.24821	0	0	96236.47759	96096.88093	95939.69017	95926.27704	96029.20026
3215682938	0	3	68.5	0	-7.238241	-0.214624	96233.40999	95791.56633	0.081108	96031.60222	0	0	96244.72618	96093.36078	95936.0828	95928.14262	96036.40397
3215682949	0	3	74	0	-9.317837	-0.214883	96227.92154	95782.55866	0.081434	96031.67415	0	0	96235.7378	96105.09435	95894.66651	95919.07521	96029.81279
3215682960	0	3	79.5	0	-8.012736	-0.114263	96249.35004	95777.35419	0.083831	96031.33917	0	0	96260.11292	96104.03647	95915.65748	95924.35891	96043.43017
3215682971	0	3	85	0	-7.551685	-0.688417	96229.32948	95776.82387	0.082086	96028.63272	0	0	96240.76943	96092.94723	95923.66467	95919.71914	96018.50808
3215682982	0	3	90.5	0	-15.242302	2.07636	96175.31834	95847.70844	0.069835	96030.28854	0	0	96164.19693	96134.94188	95874.64968	95898.65198	96024.99207
3215682993	0	3	96	0	-9.219992	-0.277491	96131.0085	95784.46555	0.071846	96031.2589	0	0	96137.28484	96029.31827	95867.44974	95896.95712	95981.81496
3215683004	0	3	101.5	0	-7.732116	-1.104306	96158.32869	95748.06437	0.078178	96030.1884	0	0	96168.68516	96035.5564	95877.7083	95883.90042	95963.82449
3215683015	0	3	107	0	-12.132094	-0.857949	96104.67457	95793.20917	0.068114	96031.04432	0	0	96105.40062	96056.31282	95859.39447	95871.90961	95938.79243
3215683026	0	3	112.5	0	-1.683817	0.433296	96014.56812	95795.47253	0.057137	96031.04393	0	0	96022.17933	95908.3574	95897.66781	95867.65548	95927.0679
3215683076	0	4	30	0	-3.758595	2.967784	96132.99302	95815.49445	0.068762	96029.69527	0	0	96142.13318	96016.8158	95966.10566	95868.92938	96004.16015
3215683087	0	4	35.5	0	-4.734579	-1.227068	96132.08593	95829.34193	0.067142	96030.61438	0	0	96142.02887	96037.57113	95971.57578	95916.03617	95971.16302
3215683098	0	4	41	0	-3.735926	2.074534	96213.60741	95825.57793	0.076003	96030.67438	0	0	96225.38765	96038.31599	95976.42213	95936.97419	96081.38889
3215683110	0	4	46.5	0	-5.063088	1.164359	96205.09642	95803.96864	0.077282	96032.15456	0	0	96216.83498	96058.70446	95965.00337	95909.66423	96038.41831
3215683120	0	4	52	0	-7.400583	0.394674	96170.76074	95791.80869	0.075123	96032.55292	0	0	96179.90106	96052.90363	95914.89573	95899.88654	96006.25217
3215683131	0	4	57.5	0	-10.393522	0.910926	96151.87482	95808.63314	0.071494	96033.32798	0	0	96155.19007	96067.84503	95885.71489	95895.97156	96004.34899
3215683142	0	4	63	0	-7.367037	0.048301	96168.91267	95846.17913	0.069315	96032.93955	0	0	96176.91447	96054.10725	95937.02157	95956.33502	96040.40325
3215683154	0	4	68.5	0	-6.596044	0.550142	96238.3468	95782.45277	0.082389	96032.90121	0	0	96250.37183	96081.05908	95935.53801	95918.19252	96049.56349
3215683165	0	4	74	0	-9.152914	-1.191125	96229.26646	95777.76749	0.081994	96031.47547	0	0	96238.23971	96109.36145	95899.50085	95925.14361	96011.90915
3215683176	0	4	79.5	0	-9.629974	-1.32882	96214.15498	95796.64586	0.078844	96030.90445	0	0	96221.627	96099.30784	95893.90904	95942.27016	96019.49851
3215683187	0	4	85	0	-10.117011	-0.01898	96206.26563	95806.19171	0.077179	96031.80826	0	0	96211.54537	96108.47533	95901.61969	95919.03185	96023.51824
3215683198	0	4	90.5	0	-8.824787	-1.172353	96228.28855	95751.02458	0.084309	96030.61756	0	0	96238.42796	96099.25528	95886.26216	95906.00883	95997.99852
3215683208	0	4	96	0	-8.712064	-0.631419	96165.51424	95758.75484	0.07784	96030.24066	0	0	96174.016	96046.61147	95867.99582	95891.55371	95982.51373
3215683220	0	4	101.5	0	-15.313929	1.345804	96114.39733	95824.65943	0.065687	96031.27996	0	0	96105.06862	96086.31591	95854.2641	95870.00082	95969.37358
3215683231	0	4	107	0	-6.17899	2.102278	96089.55735	95782.28894	0.067658	96028.97883	0	0	96097.18641	95969.85807	95879.50885	95867.65592	95984.06583
3215683242	0	4	112.5	0	-4.913034	3.069995	96037.87559	95817.72885	0.057267	96028.38198	0	0	96043.64504	95944.39675	95895.29922	95872.64458	95968.27567
3215683305	0	5	30	0	3.274734	1.984746	96105.99956	95828.52852	0.064282	96023.81706	0	0	96114.86981	95922.47009	95985.01563	95914.52579	96013.06488
3215683316	0	5	35.5	0	-2.625735	-0.441653	96153.28799	95858.22195	0.066276	96025.68825	0	0	96163.57138	96021.49626	95991.61555	95960.09299	96025.75978
3215683327	0	5	41	0	-4.137223	-0.68257	96177.52076	95764.81578	0.078403	96021.06472	0	0	96191.24681	96018.13664	95941.98316	95900.43873	95987.87328
3215683338	0	5	46.5	0	-3.844507	-3.345103	96180.27946	95773.96015	0.077792	96024.15661	0	0	96194.80411	96023.26642	95953.95744	95940.12643	95965.57945
3215683349	0	5	52	0	-3.56842	-2.603601	96201.21907	95752.26396	0.081774	96025.01233	0	0	96217.21129	96036.54732	95967.01235	95913.65879	95959.83625
